player_name,slug,player_status,season_year,season_start_year,season_age,team_name_abbr,pos,season_g,season_mp,season_pts,season_trb,season_ast,season_stl,season_blk,season_ppg,season_rpg,season_apg,season_per,season_ts_pct,season_ws,season_ws_per48,season_bpm,season_vorp,season_obpm,season_dbpm,season_fg_pct,season_efg_pct,lg_pace,lg_efg_pct,lg_ppg,lg_tpar,pace_factor,efg_factor,ppg_factor,tpar_factor,adj_season_pts,adj_season_trb,adj_season_ast,adj_season_stl,adj_season_blk,adj_season_ppg,adj_season_rpg,adj_season_apg,lg_efg_pct_safe,efg_surplus,adj_season_efg_pct,lg_ts_proxy,ts_surplus,adj_season_ts_pct,lg_ppg_safe,ppg_relative,adj_season_ppg_inflation,adj_season_ppg_blended,adj_season_ws,adj_season_vorp
Hakeem Olajuwon,olajuha01,historical,1998-99,1998.0,36.0,HOU,C,50.0,1784.0,945.0,478.0,88.0,82.0,123.0,18.9,9.56,1.76,23.1,0.559,6.5,0.175,3.2,2.3,1.4,1.8,0.514,0.517,94.8,0.484,99.2,0.157,1.0378691983122363,1.077479338842975,1.1052419354838712,2.3063694267515924,980.7863924050633,496.101476793249,91.3324894514768,85.10527426160338,127.65791139240507,19.615727848101265,9.92202953586498,1.826649789029536,0.484,0.03300000000000003,0.5545,0.51304,0.04596,0.59875,99.2,0.19052419354838707,20.88907258064516,20.125065741118824,6.746149789029536,2.3
Hakeem Olajuwon,olajuha01,historical,1999-00,1999.0,37.0,HOU,C,44.0,1049.0,455.0,274.0,61.0,41.0,70.0,10.340909090909092,6.2272727272727275,1.3863636363636365,16.7,0.484,1.6,0.072,0.4,0.6,-0.9,1.3,0.458,0.458,91.2,0.475,91.6,0.143,1.0788377192982457,1.0978947368421053,1.1969432314410482,2.5321678321678323,490.8711622807018,295.6015350877193,65.80910087719299,44.23234649122807,75.51864035087719,11.15616277910686,6.718216706539075,1.495661383572568,0.475,-0.01699999999999996,0.5045,0.5035,-0.019499999999999962,0.53329,91.6,0.11289202064311236,12.377481143310842,11.644690124788452,1.726140350877193,0.6
Hakeem Olajuwon,olajuha01,historical,2000-01,2000.0,38.0,HOU,C,58.0,1545.0,689.0,431.0,72.0,70.0,88.0,11.879310344827585,7.431034482758621,1.2413793103448276,20.7,0.526,5.0,0.155,2.8,1.9,1.3,1.5,0.498,0.498,93.1,0.478,98.2,0.162,1.0568206229860366,1.0910041841004183,1.1164969450101834,2.235185185185185,728.1494092373792,455.4896885069818,76.09108485499463,73.97744360902256,93.00021482277123,12.554300159265159,7.8532704914996865,1.3119152561205973,0.478,0.020000000000000018,0.5415,0.50668,0.019320000000000004,0.57211,98.2,0.12097057377624831,13.263213708827866,12.837865579090241,5.284103114930183,1.9
Hakeem Olajuwon,olajuha01,historical,2001-02,2001.0,39.0,TOR,C,61.0,1378.0,435.0,366.0,66.0,74.0,90.0,7.131147540983607,6.0,1.0819672131147542,14.4,0.478,2.1,0.074,-0.4,0.6,-2.7,2.4,0.464,0.464,91.3,0.479,95.5,0.167,1.0776560788608982,1.0887265135699373,1.148062827225131,2.168263473053892,468.7803943044907,394.42212486308875,71.12530120481928,79.74654983570646,96.98904709748084,7.68492449679493,6.465936473165389,1.1659885443412998,0.479,-0.014999999999999958,0.5065,0.50774,-0.02973999999999999,0.52305,95.5,0.07467170199982834,8.18700540726118,7.88575686098143,2.2630777656078864,0.6
Charles Barkley,barklch01,historical,1984-85,1984.0,21.0,PHI,PF,82.0,2347.0,1148.0,703.0,155.0,95.0,80.0,14.0,8.573170731707316,1.8902439024390243,18.3,0.599,7.5,0.154,1.7,2.2,1.3,0.4,0.545,0.546,102.2,0.471,107.4,0.039,0.9627201565557729,1.1072186836518048,1.0208566108007449,9.284615384615384,1105.2027397260274,676.7922700587084,149.2216242661448,91.45841487279843,77.01761252446184,13.478082191780821,8.253564269008638,1.8197759056846927,0.471,0.07500000000000007,0.5965,0.49926,0.09974,0.65253,107.4,0.1303538175046555,14.29199255121043,13.803646335552665,7.2204011741682965,2.2
Charles Barkley,barklch01,historical,1985-86,1985.0,22.0,PHI,PF,80.0,2952.0,1603.0,1026.0,312.0,173.0,125.0,20.0375,12.825,3.9,22.4,0.619,10.8,0.176,5.1,5.3,3.1,2.1,0.572,0.58,102.1,0.474,110.1,0.046,0.9636630754162586,1.100210970464135,0.9958219800181655,7.871739130434782,1544.7519098922626,988.7183153770814,300.66287952987267,166.71371204701273,120.45788442703233,19.309398873653283,12.358978942213517,3.7582859941234084,0.474,0.10599999999999998,0.6275,0.50244,0.11656,0.66935,110.1,0.1819936421435059,19.95378292461399,19.567152494037565,10.407561214495594,5.3
Charles Barkley,barklch01,historical,1986-87,1986.0,23.0,PHI,PF,68.0,2740.0,1564.0,994.0,331.0,119.0,104.0,23.0,14.617647058823529,4.867647058823529,25.1,0.66,12.0,0.21,6.7,6.0,5.4,1.3,0.594,0.606,103.8,0.476,109.2,0.05,0.9478805394990366,1.0955882352941175,1.0040293040293042,7.241999999999999,1482.4851637764932,942.1932562620424,313.74845857418114,112.79778420038535,98.57957610789981,21.801252408477843,13.855783180324153,4.613947920208545,0.476,0.13,0.6515,0.50456,0.15544000000000002,0.70823,109.2,0.21062271062271062,23.092673992673998,22.317821042156304,11.37456647398844,6.0
Charles Barkley,barklch01,historical,1987-88,1987.0,24.0,PHI,PF,80.0,3170.0,2264.0,951.0,254.0,100.0,103.0,28.3,11.8875,3.175,27.6,0.665,16.7,0.253,7.4,7.5,7.3,0.1,0.587,0.604,107.0,0.48,109.9,0.058,0.9195327102803739,1.0864583333333333,0.9976342129208372,6.243103448275861,2081.8220560747664,874.4756074766356,233.56130841121495,91.95327102803739,94.71186915887851,26.02277570093458,10.930945093457943,2.919516355140187,0.48,0.124,0.6455,0.5088,0.1562,0.70899,109.9,0.25750682438580524,28.23304822565969,26.906884710824627,15.356196261682243,7.5
Charles Barkley,barklch01,historical,1988-89,1988.0,25.0,PHI,PF,79.0,3088.0,2037.0,986.0,325.0,126.0,67.0,25.78481012658228,12.481012658227849,4.113924050632911,27.0,0.653,16.1,0.25,7.5,7.4,7.3,0.2,0.579,0.594,107.0,0.481,108.5,0.059,0.9195327102803739,1.0841995841995842,1.0105069124423964,6.13728813559322,1873.0881308411215,906.6592523364486,298.84813084112153,115.86112149532711,61.60869158878505,23.709976339761035,11.476699396663907,3.782887732166095,0.481,0.11299999999999999,0.6345,0.50986,0.14314000000000004,0.69593,108.5,0.23764801959983667,26.055728868926096,24.64827735142706,14.804476635514021,7.4
Charles Barkley,barklch01,historical,1989-90,1989.0,26.0,PHI,SF,79.0,3085.0,1989.0,909.0,307.0,148.0,50.0,25.17721518987342,11.50632911392405,3.8860759493670884,27.1,0.661,17.3,0.269,8.2,8.0,7.2,1.0,0.6,0.608,107.3,0.484,109.0,0.069,0.9169617893755825,1.077479338842975,1.0058715596330277,5.247826086956521,1823.8369990680335,833.5182665424045,281.50726933830384,135.7103448275862,45.84808946877912,23.086544292000426,10.550864133448156,3.563383156181061,0.484,0.124,0.6455,0.51304,0.14795999999999998,0.70075,109.0,0.23098362559516897,25.32504471025433,23.981944459301985,15.863438956197578,8.0
